"","x"
"1",8135.20146054049
"2",7862.87705362528
"3",7670.71152908077
"4",6740.09858196836
"5",7848.69319949125
"6",8484.81914659524
"7",10044.2510159941
"8",10708.6926549255
"9",10802.5927938582
"10",10569.8447307874
"11",9933.87430091989
"12",9304.88056438565
"13",8196.55641646645
"14",7922.91482842452
"15",7762.68713805079
"16",6800.42561089613
"17",7885.58186915326
"18",8568.39766335745
"19",10177.896600348
"20",10810.1778159615
"21",10861.6031238655
"22",10647.6604394066
"23",10006.7376486092
"24",9386.97916763244
"25",8268.40962649929
"26",8008.90402646143
