"","x"
"1",2822.78265581384
"2",2420.78935890909
"3",2642.40790127062
"4",2594.9714064094
"5",2756.86342286139
"6",2843.04242646018
"7",3714.39544595113
"8",4726.79040888637
"9",5346.89161766394
"10",5443.30418791928
"11",4918.29481948361
"12",3846.25992612446
"13",2849.76591152784
"14",2437.73965314605
"15",2687.14935149563
"16",2587.45922657707
"17",2794.91810574666
"18",2911.94091622074
"19",3714.73987865274
"20",4797.78957517461
"21",5410.65812089966
"22",5521.84625470422
"23",4977.76618497506
"24",3946.28236413077
"25",2920.91816024304
"26",2515.59575882767
