month,commercial,domestic,industrial
01-2020,7670.711529,2642.407901,808.0067708
02-2020,6740.098582,2594.971406,717.3662551
03-2020,7848.693199,2756.863423,803.8370813
04-2020,8484.819147,2843.042426,861.0333659
05-2020,10044.25102,3714.395446,1000.644648
06-2020,10708.69265,4726.790409,1005.25729
07-2020,10802.59279,5346.891618,1001.919711
08-2020,10569.84473,5443.304188,1007.489577
09-2020,9933.874301,4918.294819,924.5389677
10-2020,9304.880564,3846.259926,865.4598782
11-2020,8196.556416,2849.765912,817.5544457
12-2020,7922.914828,2437.739653,835.3146025
01-2021,7762.687138,2687.149351,792.1385269
02-2021,6800.425611,2587.459227,704.9317309
03-2021,7885.581869,2794.918106,788.2820526
04-2021,8568.397663,2911.940916,852.1556314
05-2021,10177.8966,3714.739879,978.8941587
06-2021,10810.17782,4797.789575,989.6048798
07-2021,10861.60312,5410.658121,987.659964
08-2021,10647.66044,5521.846255,993.173939
09-2021,10006.73765,4977.766185,905.6938051
10-2021,9386.979168,3946.282364,851.918692
11-2021,8268.409626,2920.91816,802.0506024
12-2021,8008.904026,2515.595759,819.9884707
