"","x"
"1",832.320451443432
"2",847.64397876608
"3",808.006770757686
"4",717.366255050322
"5",803.837081319458
"6",861.03336587967
"7",1000.64464846156
"8",1005.25729039339
"9",1001.91971136701
"10",1007.48957672904
"11",924.538967738791
"12",865.459878164087
"13",817.554445694735
"14",835.314602500284
"15",792.138526915041
"16",704.931730908367
"17",788.282052570699
"18",852.155631396781
"19",978.894158669556
"20",989.604879777719
"21",987.659964020407
"22",993.173938990923
"23",905.693805070338
"24",851.918692006646
"25",802.050602415817
"26",819.988470702787
